Toch2Date,Toch2Time,Toch2RequestedTemperature[C],Toch2MeasuredTemperature[C],,Toch3Date,Toch3Time,Toch3RequestedTemperature[C],Toch3MeasuredTemperature[C],,Toch4Date,Toch4Time,Toch4RequestedTemperature[C],Toch4MeasuredTemperature[C],,
2017217,19:59:45,50,-1,,2017217,19:59:50,50,31.5,,2017217,20:0:1,50,-1,,
2017217,20:0:11,50,-1,,2017217,20:0:16,50,31.5,,2017217,20:0:26,50,-1,,
2017217,20:0:36,50,-1,,2017217,20:0:41,50,31.5,,2017217,20:0:51,50,-1,,
2017217,20:1:1,50,-1,,2017217,20:1:6,50,31.5,,2017217,20:1:17,50,-1,,
2017217,20:1:27,50,-1,,2017217,20:1:32,50,31.5,,2017217,20:1:42,50,-1,,
2017217,20:1:52,50,-1,,2017217,20:1:57,50,31.5,,2017217,20:2:7,50,-1,,
2017217,20:2:17,50,-1,,2017217,20:2:22,50,31.5,,2017217,20:2:32,50,-1,,
2017217,20:2:43,50,-1,,2017217,20:2:48,50,31.5,,2017217,20:2:58,50,-1,,
2017217,20:3:8,50,-1,,2017217,20:3:13,50,31.5,,2017217,20:3:23,50,-1,,
2017217,20:3:33,50,-1,,2017217,20:3:38,50,31.5,,2017217,20:3:48,50,-1,,
2017217,20:3:58,50,-1,,2017217,20:4:3,50,31.5,,2017217,20:4:14,50,-1,,
2017217,20:4:24,50,-1,,2017217,20:4:29,50,31.5,,2017217,20:4:39,50,-1,,
2017217,20:4:49,50,-1,,2017217,20:4:54,50,31.5,,2017217,20:5:4,50,-1,,
2017217,20:5:14,50,-1,,2017217,20:5:19,50,31.5,,2017217,20:5:30,50,-1,,
2017217,20:5:40,50,-1,,2017217,20:5:45,50,31.5,,2017217,20:5:55,50,-1,,
2017217,20:6:5,50,-1,,2017217,20:6:10,50,31.5,,2017217,20:6:20,50,-1,,
2017217,20:6:30,50,-1,,2017217,20:6:38,50,31.5,,2017217,20:6:48,50,-1,,
2017217,20:6:59,50,-1,,2017217,20:7:4,50,31.75,,2017217,20:7:14,50,-1,,
2017217,20:7:24,50,-1,,2017217,20:7:29,50,31.5,,2017217,20:7:39,50,-1,,
2017217,20:7:49,50,-1,,2017217,20:7:54,50,31.5,,2017217,20:8:4,50,-1,,
2017217,20:8:15,50,-1,,2017217,20:8:23,50,31.75,,2017217,20:8:33,50,-1,,
2017217,20:8:43,50,-1,,2017217,20:8:48,50,31.75,,2017217,20:8:58,50,-1,,
2017217,20:9:8,50,-1,,2017217,20:9:13,50,31.75,,2017217,20:9:23,50,-1,,
2017217,20:9:33,50,-1,,2017217,20:9:38,50,31.5,,2017217,20:9:49,50,-1,,
2017217,20:9:59,50,-1,,2017217,20:10:4,50,31.5,,2017217,20:10:14,50,-1,,
2017217,20:10:24,50,-1,,2017217,20:10:29,50,31.5,,2017217,20:10:39,50,-1,,
2017217,20:10:49,50,-1,,2017217,20:10:54,50,31.5,,2017217,20:11:5,50,-1,,
2017217,20:11:15,50,-1,,2017217,20:11:23,50,31.5,,2017217,20:11:33,50,-1,,
2017217,20:11:43,50,-1,,2017217,20:11:48,50,31.5,,2017217,20:11:58,50,-1,,
2017217,20:12:8,50,-1,,2017217,20:12:16,50,31.5,,2017217,20:12:26,50,-1,,
2017217,20:12:37,50,-1,,2017217,20:12:42,50,31.5,,2017217,20:12:52,50,-1,,
2017217,20:13:2,50,-1,,2017217,20:13:7,50,31.5,,2017217,20:13:17,50,-1,,
2017217,20:13:27,50,-1,,2017217,20:13:32,50,31.5,,2017217,20:13:42,50,-1,,
2017217,20:13:53,50,-1,,2017217,20:14:1,50,31.5,,2017217,20:14:11,50,-1,,
2017217,20:14:21,50,-1,,2017217,20:14:26,50,31.5,,2017217,20:14:36,50,-1,,
2017217,20:14:46,50,-1,,2017217,20:14:51,50,31.5,,2017217,20:15:1,50,-1,,
2017217,20:15:11,50,-1,,2017217,20:15:22,50,-1,,2017217,20:15:32,50,-1,,
2017217,20:15:42,50,-1,,2017217,20:15:50,50,31.5,,2017217,20:16:0,50,-1,,
2017217,20:16:10,50,-1,,2017217,20:16:15,50,31.5,,2017217,20:16:25,50,-1,,
2017217,20:16:35,50,-1,,2017217,20:16:40,50,31.5,,2017217,20:16:51,50,-1,,
2017217,20:17:1,50,-1,,2017217,20:17:6,50,31.5,,2017217,20:17:16,50,-1,,
2017217,20:17:26,50,-1,,2017217,20:17:31,50,31.5,,2017217,20:17:41,50,-1,,
2017217,20:17:51,50,-1,,2017217,20:17:56,50,31.5,,2017217,20:18:6,50,-1,,
2017217,20:18:17,50,-1,,2017217,20:18:22,50,31.5,,2017217,20:18:32,50,-1,,
2017217,20:18:42,50,-1,,2017217,20:18:50,50,31.5,,2017217,20:19:0,50,-1,,
2017217,20:19:10,50,-1,,2017217,20:19:15,50,31.5,,2017217,20:19:25,50,-1,,
2017217,20:19:36,50,-1,,2017217,20:19:41,50,31.5,,2017217,20:19:51,50,-1,,
2017217,20:20:1,50,-1,,2017217,20:20:6,50,31.5,,2017217,20:20:16,50,-1,,
2017217,20:20:26,50,-1,,2017217,20:20:31,50,31.5,,2017217,20:20:41,50,-1,,
2017217,20:20:51,50,-1,,2017217,20:20:56,50,31.5,,2017217,20:21:7,50,-1,,
2017217,20:21:17,50,-1,,2017217,20:21:22,50,31.5,,2017217,20:21:32,50,-1,,
2017217,20:21:42,50,-1,,2017217,20:21:50,50,31.5,,2017217,20:22:0,50,-1,,
2017217,20:22:10,50,-1,,2017217,20:22:15,50,31.75,,2017217,20:22:26,50,-1,,
2017217,20:22:36,50,-1,,2017217,20:22:41,50,31.5,,2017217,20:22:51,50,-1,,
2017217,20:23:1,50,-1,,2017217,20:23:6,50,31.5,,2017217,20:23:16,50,-1,,
2017217,20:23:26,50,-1,,2017217,20:23:31,50,31.5,,2017217,20:23:41,50,-1,,
2017217,20:23:52,50,-1,,2017217,20:23:57,50,31.75,,2017217,20:24:7,50,-1,,
2017217,20:24:17,50,-1,,2017217,20:24:25,50,31.5,,2017217,20:24:35,50,-1,,
2017217,20:24:45,50,-1,,2017217,20:24:53,50,31.5,,2017217,20:25:3,50,-1,,
2017217,20:25:14,50,-1,,2017217,20:25:19,50,31.5,,2017217,20:25:29,50,-1,,
2017217,20:25:39,50,-1,,2017217,20:25:44,50,31.5,,2017217,20:25:54,50,-1,,
2017217,20:26:4,50,-1,,2017217,20:26:9,50,31.5,,2017217,20:26:19,50,-1,,
2017217,20:26:29,50,-1,,2017217,20:26:34,50,31.5,,2017217,20:26:45,50,-1,,
2017217,20:26:55,50,-1,,2017217,20:27:3,50,31.5,,2017217,20:27:13,50,-1,,
